article_id	article_title	author_type	author	publication_title	issue_number	issue_date	pages	regular_feature_title	cite	article_text
10	El Feth'e Niye Gittim?	Author	Yusuf Aslan	Haftalık Ant Dergisi	165	1970-02	6		"Aslan, Yusuf. ""El Feth'e Niye Gittim?."" Haftalık Ant Dergisi 165 (1970): 6"	"Bugün Ortadoğu'da Amerikan imperyalizminin ileri karakolu olan İsrail'e karşı Arap halkları anti-emperyalist bir savaş yürütmektedirler. Bu savaş Asya’da, Afrika'da, Latin Amerika'da ve bütün dünyada emperyalizmin baskısı altında ezilen halkların yürüttüğü devrimci kavganın bir parcasi.

Emperyalizme karşı yürütülen savaş, bütün dünya halklarının ortak savaşıdır. Vletnam'da, Ortadoğu'da, Latin Amerika'da emperyalizme karşı sıkılan her kurşun, aynızamanda Türkiye halkının kurtuluşu için sıkılmaktadır.

Günümüz koşullarında, özellikle emperyalizmin bir sıcak savaş bölgesi haline getirdiği Ortadoğu'da da bütün halkların, Türkiye, İran, Arap, Kıbrıs, Kürt halklarının bir antiemperyalist cephe kurmaları, ORTADOĞU DEVRİMCİ ÇEMBERİ'ni oluşturmaları, emperyalizme karşı kahredici darbenin indirilmesinin başlıca şartlarından biridir.

Bu yüzden Ortadoğu'da senelerden beri verilmekte olan devrimci kavganın pratiğinden geçmek ve ezilen Arap halklarınin kurtuluş mücadelesine bir nefer olarak katkıda bulunmak için El Feth'e gittim.

El Feth, Ortadağu'da halk savaşıni yürüten örgütlerin en güçlülerinden biridir. Bu örgüt, emperyalizme karşı verilen savaşta Arap halklarını silahlı mücadele içinde örgütleyip eğiten, marksist-leninist devrimcilerin yönetim organlarında bulunduğu birsleşik cephe örgütüdür. Örgüt işçi-köylünün büyük ölcüde ittifakını gerçeklestirmiş, kücük burjuvazinin bütün kesimlerinin sıcak savaş içinde desteğini sağlamıstır. Ayrıca, Ortadoğu'daki diğer devrimci örgütlerle birlikte gerici Arap rejimlerini de Filistin halkının silahlı gücü karşısında, görünüşte de olsa, hareketi desteklemek zorunda bırakmıştır.

EI Feth'te, diğer ülkelerden gelen ve Ortadoğu'daki halk savaşını emperyalizme karşı verilen savaşın bir parçası olarak gören, orada emperyalizme karşı sıkılan her kurşunun kendi halkının kurtuluşu için sıkıldığını bilen, devrimciler eğitim görür. 13 yaşındaki çocuğundan 80 yaşındaki ihtiyarına kadar halk savaşçılarıyla birlikte omuz omuza savaşa girer. Ve devrimciler, bu halk savaşinda 13 yaşındaki devrimcinin, ezilen halkaların kurtuluşu için mücadele ettiğinin bilincinde olduğunu görür. Halk savaşının kudretini ve emperyalistlerin halk savaşından korkmakta ne kadar haklı olduğunu görür, Halkın silahlı mücadele içinde nasıl örgütlendiğini, bilinçlendiğini ve emperyalizme karşi nasıl başarıyla savaştığını görür.

Bir daha inanır ki, emperyalizmin barbarlıkları, üstün silahli gücü karşısında dünya halklarının kararlı mücadeleleri sürecek ve mutlaka kalıcı zaferlerle neticelenecektir.

## Emperyalizme Karşı Dövüşmek Suç Değildir!

Türkiye'de sırtını emperyalizme dayamış işbirlikçi iktidar, Arap halklarınin kurtuluş mücadelesine saygı duyan Türkiye halklarına şirin gözükmek için Kahire’ye parlamento heyetleri yollarken Arap halklarının haklı mücadelesine bilfiil katılan Turkiye'li devrimcilere türlü işkenceler ve tertipler yapmaktadır. Arap halklarıyla birlikte emperyalizme karşi savaşmanın suç olmadığını, bu mücadeleyi suçmuç gibi göstermek için yapılan tertipleri ve devrimcilere yapılan işkenceleri açıklamak isterim.

Memleketime döndüğümnden birbuçuk ay sonra izinsiz yurt dışına çıktığım gerekçesiyle Kargamış istasyonunda, 1 Şubat'ta yakalandım. Önce jandarma karakolunda, sonra Gaziantep Emniyeti'nde olmak üzere, dört gün sabahlara kadar işkence altında sorgum yapıldı. İşkencelerin en halifi, saatlerce süren falaka, gözlere ışık tutmak, saç yolmak idi...

Hakim sınıflar artık şunu anlamalıdır ki, ne tür işkenceler yapılırsa, ne tür tertipler hazırlanırsa hazırlansın, devrimciler yılmayacak ve haklı kavgalarını sonuna dek sürdürecektir. Türkiye'deki devrimcileri ve devrimci kavgayı Türkiye halklarının gözlerinden düşürmek için yapılan son tertiplerden biri de Diyarbakır Olayı'dır. Memleketlerine dönen devrimciler, birbir Diyarbakır Tıp Fakültesi'ne sabotaj yapacakları gerekçesiyle tutuklanıyorlar. Maksat açıktır: Devrimcileri maceracı, anarşist olarak tanıtmak, ve Doğuda zorlukla kurulan Tıp Fakültesi'ne sabotaj yapılacağı söylentisiyle Doğu halkını Arap halklarının haklı mücadelesine karşı kuşkuya düşürmek, Kürt ve Türk halklarının kardeşliğine nifak sokmaktır.

Bu oyunun düzenleyicileri — hakim çevreler tarafından açıklıkla bilinmelidir.

SAVAŞIMIZ, ÇAĞIMIZIN YÜZKARASI EMPERYALİZME VE ONUN İŞBİRLİKÇİLERİNE KARŞIDIR. EZİLEN DÜNYA HALKLARININ DİRENİŞİNİN BİR PARÇASIDIR.

VE EMPERYALİZM, ORTADOĞU'DAN KOVULANA, DÜNYADAN YOKOLANA KADAR SÜRECEKTİR."
34	El Feth’in Açıklaması			Haftalık Ant Dergisi	164	1970-02	2		"""El Feth’in Açıklaması."" Haftalık Ant Dergisi 164 (1970): 2"	
19	El Feth’in Zaferi	Author	Gérard Chaliand	Türk Solu	82	1969-06	12		"Chaliand, Gérard. ""El Feth’in Zaferi."" Türk Solu 82 (1969): 12"	
36	El Fetihe Katılan Gençlerin Bildirisi			Aydınlık Sosyalist Dergi	17	1970-03	394-406	Aydınlık'ta Dünya ve Türkiye	"""El Fetihe Katılan Gençlerin Bildirisi."" Aydınlık Sosyalist Dergi 17 (1970): 394-406"	
31	Emperyalizmin ve Kapitalizm Mutlaka Yok Edilecektir			Kurtuluş Yolu	9	1970-06	3		"""Emperyalizmin ve Kapitalizm Mutlaka Yok Edilecektir."" Kurtuluş Yolu 9 (1970): 3"	
2	Fateh Bazı 'Büyük' Devletlerin Filistin Devrimini Boğma Tertibini Lanetliyor			Proleter Devrimci Aydınlık	10-24	1970-10	425-426		"""Fateh Bazı 'Büyük' Devletlerin Filistin Devrimini Boğma Tertibini Lanetliyor."" Proleter Devrimci Aydınlık 10-24 (1970): 425-426"	
6	Filistin Araplarının Millî Kurtuluş Savaşı	Author	Erdoğan Güçbilmez	Aydınlık Sosyalist Dergi	3	1969-01	227-244		"Güçbilmez, Erdoğan. ""Filistin Araplarının Millî Kurtuluş Savaşı."" Aydınlık Sosyalist Dergi 3 (1969): 227-244"	
41	Filistin Demokratik Halk Kurtuluş Cephesi	Author	Mehmet Ali Cehşan	Türk Solu	97	1969-09	8-10		"Cehşan, Mehmet Ali. ""Filistin Demokratik Halk Kurtuluş Cephesi."" Türk Solu 97 (1969): 8-10"	
37	Filistin Demokratik Halk Kurtuluş Cephesi			Haftalık Ant Dergisi	158	1970-01	13		"""Filistin Demokratik Halk Kurtuluş Cephesi."" Haftalık Ant Dergisi 158 (1970): 13"	
47	Filistin Demokratik Halk Kurtuluş Cephesi Görüşlerini Açıklıyor			Türk Solu	126	1970-04	15-16		"""Filistin Demokratik Halk Kurtuluş Cephesi Görüşlerini Açıklıyor."" Türk Solu 126 (1970): 15-16"	
1	Filistin Devrimi'nin Sorunları ve Eylül Dersleri	Author	Nayif Havatme	Aylık Ant Dergisi	13	1971-05	77-82		"Havatme, Nayif. ""Filistin Devrimi'nin Sorunları ve Eylül Dersleri."" Aylık Ant Dergisi 13 (1971): 77-82"	"f. d. h. k. c.nin filistin'deki son durum üzerine görüşü

Filistin Demokratik Halk Kurtuluş Cephesi, Filistin - Ulusal Konseyi'nin çalışmalarının sonuçları konusundaki görüşünü ve değerlendirmesini, Nayif Havatme'nin El-Nehar Gazetesine verdiği demeçte belirtmiştir. Filistin'deki halk savaşının son durumuna da ışık tutan bu demecin tam metnini aynen sunuyoruz.

Cephe, Konsey'in bu toplantısının yeni birşey getiremeyeceğini daha başlamadan önce bilmekteydi. Çünkü Direnme Hareketi ve genel olarak Filistin Ulusal Hareketi geçen üç yıllık tecrübelerden, özellikle Eylül ayını ngetirdiği acı tecrübeden gerekli dersleri almasını bilememişti.

Direnme Hareketi'ni yürüten grupların çoğunun, durumları ve politikaları konusunda geniş kapsamlı herhangi bir öz-eleştiriye başvurmadıklarını ve bu konuda susmayı tercih ettiklerini gördük. Yalnız Filistin Demokratik Halk Kurtuluş Cephesi, gerek kendi çalışmaları ve gerekse öteki direnme gruplarının çalışmaları konusunda, «Eylül Saldırısı: Çıkarılan Dersler ve Sonuçlar» başlığı altında, öz-eleştiri niteliğinde bir rapor yayınladı. Bu alandaki diğer girişimler ise bireyseldi ve örgütlerini bağlayıcı değildi.

Eylülden sonra ortaya çıkan durumdan anlaşıldı ki, Direnme Hareketi'ni yürüten grupların çoğu, özellikle sağcı gruplar, Eylül ayının getirdiği tecrübelerden hiçbir ders almamışlardı. Eylül ayının getirdiği tecrübelerden alınacak dersler şu şekilde özetlenebilir:

1 — Ürdün'deki gerici düzen, Direnme Hareketi ve Ulusal Hareketle olan tali çelişkisine, siyonist düşmanla olan ana çelişkisinden daha fazla önem verdiğini ve bunda ısrar ettiğini bin defa ispat etmiştir. Ve bu gerici düzen böylece, Direnme Hareketi'nin bazı gruplarınca öne sürülen ve ana çelişkinin tali çelişkilere galebe çaldığını iddia eden görüşlerin geçerli olmadığını ispat  etmiştir.

Artık açıkça anlaşılmıştır ki, silahlı mücadeleyi sürdürüp geliştirmek ve Filistin halkının, tarihi sorunu hesabına herhangi bir siyasi çözüm yoluna katılmasını engellemek; Amman'daki gerici düzenle olan çelişkinin çözümlenmesi ve orada Direnme Hareketi'ne dost olacak, ona bütün tüfeklerini siyonist düşmanın göğsüne çevirme olanağını verecek bir yönetimin-kurulması için mücadele edilmesine bağlıdır.

2 — Ürdün toplumu ile Filistin toplumu arasında boylu boyuna bir bölünme meydana gelmiş bulunmaktadır. Artık mesele, tüm ulusal sınıf ve güçlerin, emperyalizmden ve gerici sınıflardan meydana gelen güçler birliğine karşı birleşmeleri meselesi olmaktan çıkmış; Eylülden sonra Ürdün toplumu Filistin toplumunun karşısına, Ürdün ordusu da Direnme Hareketi'nin karşısına çıkarılmıştır.

Aslında bu bölünmeyi hazırlayan ve bunun tohumlarını eken, gericilik olmuştur. Gericiliğin amacı, mücadeleyi sürdürmek ve kendi hesabına birtakım çözüm yollarına girişilmesini reddetmek kararında olan Direnme Hareketi'ne ve Filistin halkına karşı girişeceği bir çatışmada, dayanacağı geniş bir taban yaratmaktı. Ne var ki Direnme Hareketi'ndeki bölgecilik eğilimi de bu bölünmeye etkin derecede katkıda bulunmuştur. Bu bölgecilik eğilimini, Direnme Hareketi'ni yürüten sağcı gruplar, Filistin Sorunu'nun «filistinleştirilmesi»nde ve bir taraftan silahlı mücadelenin geliştirilmesi gerektiği, diğer taraftan da bu mücadelenin Amman'da cereyan eden olaylarla ilişkili bulunduğu konusunu anlamamakta ısrar etmek suretiyle teşvik etmiştir.

3 — Arap düzenlerinin Direnme Hareketi'nin sağ kanadıyla yürüttüğü ilişkiler ve Direnme Hareketi'nin sağ kanadının, ulusal kurtuluş hareketleriyle değil de arap düzenleriyle yürüttüğü ilişkiler, Direnme Hareketi'ni geniş öçüde araplararası çelişkilerin ve resmi ilişkilerin esiri durumuna getirmiştir. Bu durum da, Direnme Hareketi'nin politik mücadelelerini boğmuş ve Amman'daki egemen güçle olan çelişkileri çözümlemek konusunda insiyatifi eline almasını engellemiştir. Oysa bu alanda Direnme Hareketi'nin insiyatifi eline alması zorunluydu.

4 — Bütün bunların sonucu olarak Direnme Hareketi, gericiliğin saldırıları ve emperyalizmin planları karşısında kendi kendini savunma durumuna geçmek zorunda kalmıştır. Böylece Direnme Hareketi, Amman'daki gericiliğin saldırılarını felce uğratmaktan aciz kalmış; bütün politik, kitlesel ve silahli mücadelelerini, bu gericiliğin saldırılarına karşı koymakta  yoğunlaştırmakla yetinmiş; bu savunma poitikasında insiyatifi ele alıp egemen gücün saldırıları önüne bir set çekememiş ve onunla olan çelişkilerini çözememiştir.

İşte bütün bunlar, bizi, şu sonuçları çıkarmaya sevketmektedir: 

Şu anda Direnme Hareketi'nin ve Ulusal Hareket'in önünde duran ödev, bu esaslı dersleri kavramaktır. Çünkü Direnme Hareketi, ancak bu dersleri kavramakla, şimdiki durumda şu iki ulusal ve devrimci amacı gerçekleştürebilecektir:

A) Direnme Hareketi'nin ve Ulusal Hareket'in öznel güçlerini korumak ve bu hareketleri tasfiye edilmekten kurtarmak. Bu tasfiye, politik ve askeri alanda düzensiz bir şekilde gerilemekle olabileceği gibi, Eylülden sonra Ürdün-Filistin alanında güçler dengesinde meydana gelen köklü değişiklik muvacehesinde bir intihar sayılacak olan silahlı bir maceraya girişmekle de olabilir. Aslında bu değişiklik, Direnme Hareketi ile iktidarın askeri güçleri arasında yeni meydana gelmiş bir durum değildir; çünkü bu dengesizlik, geçen üç yıl boyunca da, nicel üstünlük sayesinde ve iktidarın lehine olarak zaten mevcuttu. Gerçek denge bozukluğu, Ürdün-Filistin toplumları arasında boylu boyunca meydana gelen bölünmeden doğdu ve bu bölünme gerici iktidara, yakın tarihinde ilk defa olarak, Doğu Ürdün'de halktan bir taban-kuvvet verdi; gerici iktidar bu kuvvete dayanarak Devrim'e karşı çarpışmaolanağını buldu.

B) Filistin halkının, herhangi bir siyasi çözüm yolunu kabul etmeyiö reddedecek ulusal tutumunu koruması. Çünkü böyle bir çözüm yolunu kabul etmesi, Filistin halkını, Filiştin'in toprak bütünlüğü konusundaki tarihsel ve doğal hakkından vazgeçip, Batı Yakası ve Gazze Kesimi üzerinde kurulacak bir filistin devletciğine razı olmaya sevkedecektir. Böyle bir devletciğin kurulmasi ve Filistin halkının bunu kabul etmesi ise, Filistin Sorunu'nun tasfiyesini öngören geniş kapsamlı bir planın parçasıdır.

İşte burada, «ortadaki sorunun Filistin ölçüsünde bir çözüm şekli yoktur; çözüm şekli, araplararası bir çözüm şekli olacaktır» sözünün doğruluğu ortaya çıkmaktadır.

## Eylül Dersleri

Bu iki ödevin gerçekleştirilebilmesi için, adı geçen Eylül Dersleri'nin sonuçlarını ortaya koymak gerekir. Bu derslerin verdiği sonuçlar Şunlardır:

1 — Direnme Hareketi'nin korunması ve  Filistin halkının şimdiki çözüm şekline katılmaktan alıkonması, egemen güçte temsil edilen şimdiki Ürdün-Filistin cephesinin karşısında bir Ürdün-Filistin Ulusal Cephesi'nin kurulmasını gerektirmektedir. Bu cephenin gündem maddesinde, toplumun vücudunda meydana getirilmiş olan bölünmeyi ortadan kaldıracak tedbirlerin alınması yer alacaktır. Ayrıca bu cephe, Doğu Yakası halkının ulusal demokratik haklarını ve Filistin Devrimi'nin sorunlarını birlikte içerecek bir program hazırlayacaktır.

2 — Filistin halkına, Doğu Yakası'nda ulusal bir yönetimin kurulması için ulusal alternatif gösterilmesi. Kurulacak olan bü yönetim, halkımızın birçok kesiminin, gericiliğin saldırılarından ve bu saldırıların doğurduğu günlük işkence ve acılardan kurtülmak için Filistin Devleti'nin kurulması fikrine eğilim göstermesi yerine, halkımıza ve Direnme Hareketi'ne, tüm namlularını ve tüm kavgalarını siyonist düşmana yöneltme olanağını verecek biryönetim olacaktır.

3 — Direnme Hareketi'nin korunması, Doğu Yakası'ndaki ulusal demokratik kurtuluş hareketinin yürütülmesi ve emperyalizm ile Arap bölgesinde ona bağlı olan yerli gerici güçlere karşı kavga verilmesi için, ortak mücadeleye girmek amacıyla, arap kitleleriyle doğrudan doğruya ilişki kurularak araplararasi ilişkilerin düzeltilmesi.

Oysa, gerek Direnme Hareketi'ni yürüten gruplar tarafından açıkça ortaya atılan görüşlerden, gerekse Merkez Komitesi'nde yapılan tartışmalardan, Direnme Hareketi'nin gruplarından çoğunun ve özellikle sağ kanadın, bu derslerden hiçbirini kavramamış olduğu anlaşılmış bulünuyordu. Bunlar, Eylülden önce takınmış oldukları tavırları aynen korumakta ısrar etmekteydiler. Böylece Direnme Hareketi'ni yürüten grupların lider kadrolarının, şimdiki aşamayı ve onun gerektirdiği görevleri kavramaktan aciz oldukları görülmekteydi.

İşte Direnme Hareketi, bu ortam içinde Filistin Ulusal Konseyi'ne geldi. Bu sırada egemen olan görüş, bütün örgütlerin bir tek örgüt içinde birleştirilmesi anlamında kullanılan «önce ulusal birlik» görüşüydü; sanki bu ulusal birlik, Direnme Hareketi'nin öznel ve nesnel problemlerini çözümleyecek sihirli bir çözüm yoluymuş  gibi öne sürüldü. Oysa böyle bir birlik, aslında, Direnme Hareketi'nin saflarındaki ve şu grupla bu grup  arasındaki öznel çelişkileri toplayıp bir araya getirmekten öteye gidemeyecekti. Ve bilimsel olmayan bu yönteme çağıranlar, Eylülden sonra halkın safları arasında meydana gelen duygusal akımı istismar ederek siyasi bir demagoji hamlesine giriştiler. İşte öne sürdükleri sihirli çözüm yölü bu olduç

Bu nedenle biz, Ulüsal Konsey'in toplantısının başından beri, bu Konsey'in yeni birşey getiremeyeceğini gördük ve anladık. Konsey'in bütün tartışmalarında, Direnme Hareketi'nin ve Filistin Sorunu'nun içine düştüğü çıkmaza birbirine karşıt açılardan bakan iki ana akımın-mevcut olduğu ortaya çıktı:

Bu akımlardan biri, Eylül derslerinin kavranmasını ve değerlendirilmesini istiyor; öteki akım ise, «ulusal birlik» sloganını, hiç bir gerçek muhteva kazandırmadan ortaya atarak, eski görüşün geçerli olması yönünde gidiyordu. Bu ikinci akım, Ürdün-Filistin ortak cephesinin kurulmasını reddetmekle, Filistin kavgasının — «bölgesel» kalmasında ısrar ederek toplumun gövdesinde meydana gelmiş bölünmenin devam etmesinde diretmekle,  ilişkilerin köklü bir cephe kurulması şeklinde düzenlenmesini reddetmekle ve arap düzenleri ile Direnme Hareketi arasındaki ilişkilerin yeniden ele alınmasını reddetmekle niyetini açığa vurdu.

Filistin Demokratik Halk Kurtuluş Cephesi delegeleri, Konsey'de, «ulusal birliği» mühtevasız olarak ve sadece sözde kalarak isteyenlerin, eski dürumun devam etmesinde ısrar etmekle, aslında pratik ve objektif olarak birlik istemediklerini ısrarla savundular.

Bütün bunlar bizi, şunları söylemek zorunda bırakmaktadir: Eski durumun olduğu gibi kalması, ancak Direnme Hareketi'nin saflarıni daha çok felce uğratmak demektir. Bunun sonucu olarak, Amman'da egemen  olan gericiliğin karşısında askeri alanda daha çok gerileme, araplararası baskılar karşısında da siyasi alanda daha çok gerileme meydana gelecektir. Aynı zamanda bu, her gün halkımızın bir kesiminin daha, Filistin Devleti fikrine itilmesine yolaçacaktır. Çünkü şimdiki durumda, bunun dışında bir alternatif bulunmayacağı izlenimini verecektir.

Ulusal Konsey'de ayrıca, direnmeyi yürüten grupları yalnız felcetmekle kalmayacak, aynı zamanda Direnme Hareketi'nin çeşitli grupları arasında mevcut bulunan eylem birliğini de parçalayacak olan bir eğilim de gördük. Bu, bağımsız unsurlarla Kurtuluş Ordusu ve El-Fetih arasinda, öteki güçlere karşı bir özel mihverin kurulması çabalarıydı. Bu da, Direnme Hareketi'ni iki aşamada mevcut araplararası politikanın emrine vermekle sonuçlanacak bir tutumdür. Bu iki aşama şunlardır: 

A) Direnme Hareketi'nin içindeki  ilerici güçlerin tecrit edilmesi ve öteki gruplardan daha çok gericiliğin saldırılarına uğratılmaları. 

B) İlerici güçlerin El-Fetih ve Kurtuluş Ordusu'nun içinde eritilmesi ve böylece Direnme Hareketi'nin biçimsel ve aciz bir duruma getirilerek araplararası duruma teslimiyetinin sağlanması.

Bu iki aşama sonucunda, mevcut problemin Filistin açısından çözümü imkansız hale getirilecek ve bu problem arap düzenleri açısından ve Güvenlik Konseyi'nin kararı çerçevesi içinde çözüme bağlanacaktırç

## Daha çok gerileme:

Konsey'in içinde ve dışında cereyan eden bir - dizi tartışmalar sonucunda, Direnme Hareketi'ni parçalamayı ve direnmeyi yürüten grupların  birbirleriyle çarpışmaya girmelerini. öngören teşebbüsler başarısızlığa uğratildi. Ama sonuç, gerek siyasi ve askeri alanlarda, gerekse direnmeyi yürüten gruplar arasındaki ilişkiler alanında hiçbir durum değişikliği yaratmadı.

Konsey'de alınan kararlara gelince, benim kanımca bunlar, biçimsel birtakım kağıt parçalarından başka birşey değildir; çünkü hepsi muhtevadan yoksun bulunmaktadır. Ayrıca bu kararlar, Filistin Sorunu ve Direnme Hareketi'nin şimdiki durumu için de bir çare bulamamıştır.

Konsey içinde bazı güçler de vardı ki, aydınlığı görmeye niyetli değillerdi.

Benim değerlendirmeme göre, Direnme Hareketi'nin Eylülden önce ve Eylülden sonra içinde bulunduğu buhran, hem araplararası planda, hem de Filistin'liler açısından, bağrında geniş ölçüde askeri ve siyasi gerileme taşımaktadır. Bana öyle geliyor ki, bir süre sonra kendimizi tıkanmış bir yolun ağzında bulacağız ve o zaman buhran için gösterilen araplararası çözüm yollarına teslim olmaktan başka çare bulamayacağız; yada en azından bu sonuçlara karşı çıkmaktan aciz kalacağız.

Benim kanımca Direnme Hareketi'nin şimdi içinde bulunduğu buhranın çözüm yolu, hem Direnme Hareketi'nin içindeki, hem de Ürdün'deki bütün ulusal ve ilerici güçler arasında, ortak bir program etrafında ulusal bir cephenin kurulmasıdır. Ve bu çözümyolu da, bundan sonra toplanacak olan Konsey salonlarının dışında  bulunacaktır. Kurulacak olan cephenin de, şu üç görev için mücadele etmesi gerekmektedir:

1 — Direnme Hareketi'nin öznel gücünü korumak.

2 — Filistin halkının siyasi çözüm yollarına katılmasına götürebilecek yolu kapatmak.

3 — Bunların mümkün olması için, Direnme Hareketi ve Ürdün Ulusal Hareketi ile Amman'daki egemen güçler arasındaki çelişkilerin çözümlenmesi için mücadele etmek. Bu mücadelenin, Direnme Hareketi'nin devam, etmesi ve silahlı bir halk ihtilaline dönüştürülmesi gerekliliğine inanan ulusal bir yönetimin kurulması amacına yönelmesi gereklidir.

(Beyrut'ta yayınlanan haftalık El-Hürriyye Dergisi'nin 15 Mart 1971 tarihli sayısından çevrilmiştir.)"
20	Filistin Halk Kurtuluş Cephesinde bölünmeler	Author	Gérard Chaliand	Türk Solu	85	1969-07	13		"Chaliand, Gérard. ""Filistin Halk Kurtuluş Cephesinde bölünmeler."" Türk Solu 85 (1969): 13"	
21	Filistin Mukavemeti	Author	Gérard Chaliand	Türk Solu	81	1969-06	10-11		"Chaliand, Gérard. ""Filistin Mukavemeti."" Türk Solu 81 (1969): 10-11"	
4	Filistin İhtilalini Kimse Durduramaz!			Proleter Devrimci Aydınlık	10-24	1970-10	417-423		"""Filistin İhtilalini Kimse Durduramaz!."" Proleter Devrimci Aydınlık 10-24 (1970): 417-423"	
5	Filistin İkinci Dünya Kongresi			Proleter Devrimci Aydınlık	10-24	1970-10	423-425		"""Filistin İkinci Dünya Kongresi."" Proleter Devrimci Aydınlık 10-24 (1970): 423-425"	
46	Filistinde Emperyalizme Karşı Savaşan Örgütler			Haftalık Ant Dergisi	164	1970-02	12-13		"""Filistinde Emperyalizme Karşı Savaşan Örgütler."" Haftalık Ant Dergisi 164 (1970): 12-13"	
44	Filistin’de Halk Savaşı Zafere Ulaşacaktır!			Aylık Ant Dergisi	6	1970-10	2-5		"""Filistin’de Halk Savaşı Zafere Ulaşacaktır!."" Aylık Ant Dergisi 6 (1970): 2-5"	
43	Filistin’de Marksist-Leninist Cephe!			Haftalık Ant Dergisi	138	1969-08	8-9		"""Filistin’de Marksist-Leninist Cephe!."" Haftalık Ant Dergisi 138 (1969): 8-9"	
42	Filistin’de Savaşın Öncülüğü Halka Geçiyor!			Haftalık Ant Dergisi	127	1969-06	12-13		"""Filistin’de Savaşın Öncülüğü Halka Geçiyor!."" Haftalık Ant Dergisi 127 (1969): 12-13"	
38	Halk Savaşı			Kurtuluş	4	1970-08	2		"""Halk Savaşı."" Kurtuluş 4 (1970): 2"	
22	Haziran 1967 den Sonra	Author	Gérard Chaliand	Türk Solu	83	1969-06	14		"Chaliand, Gérard. ""Haziran 1967 den Sonra."" Türk Solu 83 (1969): 14"	
8	Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı	Translator	Mehmet Emin Bozarslan	Aylık Ant Dergisi	2	1970-06	75-84		"Bozarslan, Mehmet Emin. ""Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı."" Aylık Ant Dergisi 2 (1970): 75-84"	
9	Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı	Author	Nayif Havatme	Aylık Ant Dergisi	2	1970-06	75-84		"Havatme, Nayif. ""Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı."" Aylık Ant Dergisi 2 (1970): 75-84"	
48	Lübnan Dar Boğazlara Sürükleniyor			Emek	16		14			
23	Milli şahsiyetiçin savaş	Author	Gérard Chaliand	Türk Solu	84	1969-06	14		"Chaliand, Gérard. ""Milli şahsiyetiçin savaş."" Türk Solu 84 (1969): 14"	
30	Mısırda Karışıklık			Kurtuluş Yolu	2	1968-12	2		"""Mısırda Karışıklık."" Kurtuluş Yolu 2 (1968): 2"	
45	Nayif Havatmeh Kimdir?			Haftalık Ant Dergisi	164	1970-02	12		"""Nayif Havatmeh Kimdir?."" Haftalık Ant Dergisi 164 (1970): 12"	
